year,month,season,date,site,site_number,plot,microsite,rep,lat,long,mass_g,shrubs_plot
2019,June,summer,11-Jun-19,Carrizo,4,1,open,1,35.11965,-119.6282,2,12
2019,June,summer,11-Jun-19,Carrizo,4,1,open,2,35.11994,-119.62846,2,12
2019,June,summer,11-Jun-19,Carrizo,4,1,open,3,35.12,-119.6284,2,12
2019,June,summer,11-Jun-19,Carrizo,4,1,shrub,2,35.11994,-119.62843,5,12
2019,June,summer,11-Jun-19,Carrizo,4,1,shrub,1,35.11964,-119.62824,6,12
2019,June,summer,11-Jun-19,Carrizo,4,1,shrub,3,35.11999,-120.62833,9,12
2019,June,summer,11-Jun-19,Carrizo,4,2,shrub,2,35.11924,-119.62857,10,6
2019,June,summer,11-Jun-19,Carrizo,4,2,open,2,35.11923,-119.62846,1,6
2019,June,summer,11-Jun-19,Carrizo,4,2,open,3,35.11919,-119.62843,2,
2019,June,summer,11-Jun-19,Carrizo,4,2,open,1,35.11933,-120.62837,3,6
2019,June,summer,11-Jun-19,Carrizo,4,2,shrub,1,35.11931,-119.62836,5,6
2019,June,summer,11-Jun-19,Carrizo,4,2,shrub,3,35.11919,-119.62841,7,6
2019,June,summer,11-Jun-19,Carrizo,4,3,shrub,3,35.11887,-119.62939,11,2
2019,June,summer,11-Jun-19,Carrizo,4,3,open,2,35.11877,-119.62923,1,2
2019,June,summer,11-Jun-19,Carrizo,4,3,open,3,35.11888,-119.62936,1,2
2019,June,summer,11-Jun-19,Carrizo,4,3,open,1,35.11883,-119.62924,3,2
2019,June,summer,11-Jun-19,Carrizo,4,3,shrub,2,35.11879,-119.62922,6,2
2019,June,summer,11-Jun-19,Carrizo,4,3,shrub,1,35.11883,-119.62927,7,2
2019,June,summer,11-Jun-19,Carrizo,4,4,open,1,35.1185,-119.62861,2,0
2019,June,summer,11-Jun-19,Carrizo,4,4,open,2,35.11855,-119.62858,3,0
2019,June,summer,11-Jun-19,Carrizo,4,4,open,3,35.11848,-119.62856,6,0
2019,June,summer,12-Jun-19,Carrizo,3,5,shrub,1,35.16169,-119.677202,11,11
2019,June,summer,12-Jun-19,Carrizo,3,5,shrub,3,35.16175,-119.67193,12,11
2019,June,summer,12-Jun-19,Carrizo,3,5,open,2,35.16178,-119.6719,2,11
2019,June,summer,12-Jun-19,Carrizo,3,5,open,1,35.16161,-119.67198,3,11
2019,June,summer,12-Jun-19,Carrizo,3,5,open,3,35.16176,-119.67194,4,11
2019,June,summer,12-Jun-19,Carrizo,3,5,shrub,2,35.16179,-119.67191,7,11
2019,June,summer,12-Jun-19,Carrizo,3,6,open,2,35.1633,-119.67404,1,6
2019,June,summer,12-Jun-19,Carrizo,3,6,open,3,35.16333,-119.67411,1,6
2019,June,summer,12-Jun-19,Carrizo,3,6,open,1,35.16313,-119.67404,2,6
2019,June,summer,12-Jun-19,Carrizo,3,6,shrub,2,35.1632,-119.67403,3,6
2019,June,summer,12-Jun-19,Carrizo,3,6,shrub,1,35.16313,-11967410,6,6
2019,June,summer,12-Jun-19,Carrizo,3,6,shrub,3,35.16331,-119.6741,8,6
2019,June,summer,12-Jun-19,Carrizo,3,7,shrub,2,35.16231,-119.67295,10,3
2019,June,summer,12-Jun-19,Carrizo,3,7,open,2,35.1623,-119.67294,1,3
2019,June,summer,12-Jun-19,Carrizo,3,7,open,3,35.16234,-119.67297,1,3
2019,June,summer,12-Jun-19,Carrizo,3,7,open,1,35.16226,-119.67297,2,3
2019,June,summer,12-Jun-19,Carrizo,3,7,shrub,3,35.16232,-119.67297,6,3
2019,June,summer,12-Jun-19,Carrizo,3,7,shrub,1,35.16225,-119.67297,9,3
2019,June,summer,12-Jun-19,Carrizo,3,8,open,2,35.16252,-119.67435,4,0
2019,June,summer,12-Jun-19,Carrizo,3,8,open,1,35.1626,-119.67431,6,0
2019,June,summer,12-Jun-19,Carrizo,3,8,open,3,35.16245,-119.67441,6,0
