year,month,season,long_term_transects,rep,transect,sample,mass_g
2021,November,winter,1,1,1,1,10.027
2021,November,winter,1,2,1,2,23.552
2021,November,winter,1,3,1,3,26.287
2021,November,winter,1,4,1,4,22.329
2021,November,winter,1,5,1,5,8.543
2021,November,winter,1,6,1,6,5.420
2021,November,winter,2,7,1,7,8.380
2021,November,winter,2,8,1,8,11.772
2021,November,winter,2,9,1,9,15.901
2021,November,winter,2,10,1,10,9.360
2021,November,winter,2,11,1,11,10.180
2021,November,winter,2,12,1,12,15.764
2021,November,winter,3,13,1,13,10.755
2021,November,winter,3,14,1,14,21.563
2021,November,winter,3,15,1,15,4.151
2021,November,winter,3,16,1,16,15.542
2021,November,winter,3,17,1,17,5.210
2021,November,winter,3,18,1,18,11.258
2021,November,winter,4,19,1,19,10.158
2021,November,winter,4,20,1,20,38.551
2021,November,winter,4,21,1,21,12.488
2021,November,winter,4,22,1,22,11.252
2021,November,winter,4,23,1,23,0.211
2021,November,winter,4,24,1,24,11.328
2021,November,winter,5,25,2,1,10.628
2021,November,winter,5,26,2,2,23.325
2021,November,winter,5,27,2,3,7.018
2021,November,winter,5,28,2,4,19.452
2021,November,winter,5,29,2,5,17.571
2021,November,winter,5,30,2,6,16.152
2021,November,winter,6,31,2,7,9.215
2021,November,winter,6,32,2,8,14.098
2021,November,winter,6,33,2,9,10.210
2021,November,winter,6,34,2,10,23.178
2021,November,winter,6,35,2,11,6.358
2021,November,winter,6,36,2,12,12.758
2021,November,winter,7,37,2,13,28.629
2021,November,winter,7,38,2,14,9.782
2021,November,winter,7,39,2,15,27.664
2021,November,winter,7,40,2,16,20.433
2021,November,winter,7,41,2,17,42.554
2021,November,winter,7,42,2,18,2.839
2021,November,winter,8,43,2,19,37.176
2021,November,winter,8,44,2,20,11.842
2021,November,winter,8,45,2,21,9.280
2021,November,winter,8,46,2,22,11.771
2021,November,winter,8,47,2,23,13.920
2021,November,winter,9,48,2,24,11.789
2021,November,winter,9,49,3,1,16.064
2021,November,winter,9,50,3,2,5.790
2021,November,winter,9,51,3,3,43.173
2021,November,winter,9,52,3,4,44.647
2021,November,winter,9,53,3,5,9.543
2021,November,winter,9,54,3,6,33.826
2021,November,winter,10,55,3,7,25.529
2021,November,winter,10,56,3,8,1.927
2021,November,winter,10,57,3,9,1.805
2021,November,winter,10,58,3,10,10.178
2021,November,winter,10,59,3,11,5.529
2021,November,winter,10,60,3,12,22.103
2021,November,winter,11,61,3,13,10.440
2021,November,winter,11,62,3,14,6.412
2021,November,winter,11,63,3,15,12.523
2021,November,winter,11,64,3,16,46.987
2021,November,winter,11,65,3,17,56.704
2021,November,winter,11,66,3,18,9.624
2021,November,winter,12,67,3,19,8.853
2021,November,winter,12,68,3,20,10.810
2021,November,winter,12,69,3,21,26.223
2021,November,winter,12,70,3,22,16.837
2021,November,winter,12,71,3,23,12.793
2021,November,winter,12,72,3,24,11.821
2021,November,winter,13,73,4,1,11.388
2021,November,winter,13,74,4,2,7.878
2021,November,winter,13,75,4,3,8.283
2021,November,winter,13,76,4,4,24.986
2021,November,winter,13,77,4,5,25.610
2021,November,winter,13,78,4,6,19.741
2021,November,winter,14,79,4,7,27.866
2021,November,winter,14,80,4,8,23.188
2021,November,winter,14,81,4,9,7.159
2021,November,winter,14,82,4,10,41.666
2021,November,winter,14,83,4,11,19.652
2021,November,winter,14,84,4,12,17.588
2021,November,winter,15,85,4,13,27.799
2021,November,winter,15,86,4,14,42.828
2021,November,winter,15,87,4,15,20.927
2021,November,winter,15,88,4,16,34.824
2021,November,winter,15,89,4,17,3.823
2021,November,winter,15,90,4,18,23.823
2021,November,winter,16,91,4,19,24.599
2021,November,winter,16,92,4,20,17.495
2021,November,winter,16,93,4,21,18.084
2021,November,winter,16,94,4,22,26.508
2021,November,winter,16,95,4,23,23.100
2021,November,winter,16,96,4,24,13.923
2021,November,winter,17,97,5,1,14.367
2021,November,winter,17,98,5,2,7.925
2021,November,winter,17,99,5,3,26.441
2021,November,winter,17,100,5,4,12.367
2021,November,winter,17,101,5,5,15.152
2021,November,winter,17,102,5,6,12.172
2021,November,winter,18,103,5,7,14.113
2021,November,winter,18,104,5,8,5.402
2021,November,winter,18,105,5,9,24.848
2021,November,winter,18,106,5,10,8.353
2021,November,winter,18,107,5,11,26.291
2021,November,winter,18,108,5,12,12.356
2021,November,winter,19,109,5,13,57.331
2021,November,winter,19,110,5,14,41.432
2021,November,winter,19,111,5,15,23.951
2021,November,winter,19,112,5,16,11.705
2021,November,winter,19,113,5,17,22.165
2021,November,winter,19,114,5,18,14.175
2021,November,winter,20,115,5,19,29.489
2021,November,winter,20,116,5,20,25.142
2021,November,winter,20,117,5,21,11.140
2021,November,winter,20,118,5,22,12.831
2021,November,winter,20,119,5,23,42.163
2021,November,winter,20,120,5,24,24.931
