year,month,season,date,site,site_number,rep,microsite,mass_g
2019,June,summer,29-Jun-19,Cuyama,C1,1,ephedra,7.4961
2019,June,summer,29-Jun-19,Cuyama,C1,1,open,1.9574
2019,July,summer,01-Jul-19,Cuyama,C1,2,ephedra,2.5613
2019,July,summer,01-Jul-19,Cuyama,C1,2,open,0.6139
2019,June,summer,29-Jun-19,Cuyama,C1,3,ephedra,2.0635
2019,June,summer,29-Jun-19,Cuyama,C1,3,open,0.7376
2019,June,summer,29-Jun-19,Cuyama,C1,4,ephedra,5.2461
2019,June,summer,29-Jun-19,Cuyama,C1,4,open,0.3916
2019,June,summer,29-Jun-19,Cuyama,C1,5,ephedra,0.1332
2019,June,summer,29-Jun-19,Cuyama,C1,5,open,3.5223
2019,July,summer,01-Jul-19,Cuyama,C1,6,ephedra,2.7842
2019,July,summer,01-Jul-19,Cuyama,C1,6,open,10.1174
2019,June,summer,29-Jun-19,Cuyama,C1,7,ephedra,0.2611
2019,June,summer,29-Jun-19,Cuyama,C1,7,open,3.7234
2019,June,summer,29-Jun-19,Cuyama,C1,8,ephedra,3.3871
2019,June,summer,29-Jun-19,Cuyama,C1,8,open,2.0704
2019,June,summer,29-Jun-19,Cuyama,C1,9,ephedra,5.1924
2019,June,summer,29-Jun-19,Cuyama,C1,9,open,0.6063
2019,July,summer,01-Jul-19,Cuyama,C1,10,ephedra,5.0761
2019,July,summer,01-Jul-19,Cuyama,C1,10,open,2.1315
2019,June,summer,29-Jun-19,Cuyama,C1,11,ephedra,1.8273
2019,June,summer,29-Jun-19,Cuyama,C1,11,open,0.571
2019,June,summer,29-Jun-19,Cuyama,C1,12,ephedra,3.1016
2019,June,summer,29-Jun-19,Cuyama,C1,12,open,0.2557
2019,June,summer,29-Jun-19,Cuyama,C1,13,ephedra,4.5273
2019,June,summer,29-Jun-19,Cuyama,C1,13,open,0.9587
2019,July,summer,01-Jul-19,Cuyama,C1,14,ephedra,2.9378
2019,July,summer,01-Jul-19,Cuyama,C1,14,open,0.4433
2019,June,summer,29-Jun-19,Cuyama,C1,15,ephedra,2.8709
2019,June,summer,29-Jun-19,Cuyama,C1,15,open,1.131
2019,June,summer,29-Jun-19,Cuyama,C1,16,ephedra,0
2019,June,summer,29-Jun-19,Cuyama,C1,16,open,0.2642
2019,June,summer,29-Jun-19,Cuyama,C1,17,ephedra,0.9063
2019,June,summer,29-Jun-19,Cuyama,C1,17,open,0.6414
2019,July,summer,01-Jul-19,Cuyama,C1,18,ephedra,0.2944
2019,July,summer,01-Jul-19,Cuyama,C1,18,open,0.2734
2019,June,summer,29-Jun-19,Cuyama,C1,19,ephedra,2.9319
2019,June,summer,29-Jun-19,Cuyama,C1,19,open,0.6842
2019,June,summer,29-Jun-19,Cuyama,C1,20,ephedra,1.4156
2019,June,summer,29-Jun-19,Cuyama,C1,20,open,0.5986
2019,July,summer,01-Jul-19,Cuyama,C1,21,ephedra,0.6647
2019,July,summer,01-Jul-19,Cuyama,C1,21,open,3.7783
2019,June,summer,29-Jun-19,Cuyama,C1,22,ephedra,1.8625
2019,June,summer,29-Jun-19,Cuyama,C1,22,open,0.2141
2019,June,summer,29-Jun-19,Cuyama,C1,23,ephedra,1.0859
2019,June,summer,29-Jun-19,Cuyama,C1,23,open,1.6071
2019,June,summer,29-Jun-19,Cuyama,C1,24,ephedra,0
2019,June,summer,29-Jun-19,Cuyama,C1,24,open,2.7367
2019,June,summer,29-Jun-19,Cuyama,C1,25,ephedra,3.9423
2019,June,summer,29-Jun-19,Cuyama,C1,25,open,6.0029
2019,July,summer,01-Jul-19,Cuyama,C1,26,ephedra,1.6736
2019,July,summer,01-Jul-19,Cuyama,C1,26,open,8.5927
2019,June,summer,29-Jun-19,Cuyama,C1,27,ephedra,1.0719
2019,June,summer,29-Jun-19,Cuyama,C1,27,open,2.6381
2019,June,summer,29-Jun-19,Cuyama,C1,28,ephedra,3.1129
2019,June,summer,29-Jun-19,Cuyama,C1,28,open,1.9097
2019,June,summer,29-Jun-19,Cuyama,C1,29,ephedra,1.2349
2019,June,summer,29-Jun-19,Cuyama,C1,29,open,0.1645
2019,July,summer,01-Jul-19,Cuyama,C1,30,ephedra,0
2019,July,summer,01-Jul-19,Cuyama,C1,30,open,1.6039
2019,June,summer,29-Jun-19,Cuyama,C2,1,ephedra,3.2859
2019,June,summer,29-Jun-19,Cuyama,C2,1,open,1.1911
2019,July,summer,01-Jul-19,Cuyama,C2,2,ephedra,3.7826
2019,July,summer,01-Jul-19,Cuyama,C2,2,open,4.4772
2019,June,summer,29-Jun-19,Cuyama,C2,3,ephedra,5.3977
2019,June,summer,29-Jun-19,Cuyama,C2,3,open,0.5908
